criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,,sqrt,32,256,128,best,0.64421673693628
gini,,sqrt,32,256,128,random,0.6468669425157854
gini,,sqrt,64,1,128,best,0.6416781411106333
gini,,sqrt,64,1,128,random,0.6401146884887806
gini,,sqrt,64,2,128,best,0.6416781411106333
gini,,sqrt,64,2,128,random,0.6401146884887806
gini,,sqrt,64,4,128,best,0.6416781411106333
gini,,sqrt,64,4,128,random,0.6401146884887806
gini,,sqrt,64,8,128,best,0.6416781411106333
gini,,sqrt,64,8,128,random,0.6401146884887806
gini,,sqrt,64,16,128,best,0.6416781411106333
gini,,sqrt,64,16,128,random,0.6401146884887806
gini,,sqrt,64,32,128,best,0.6416781411106333
gini,,sqrt,64,32,128,random,0.6401146884887806
gini,,sqrt,64,64,128,best,0.6416781411106333
gini,,sqrt,64,64,128,random,0.6401146884887806
gini,,sqrt,64,128,128,best,0.6416781411106333
gini,,sqrt,64,128,128,random,0.6401146884887806
gini,,sqrt,64,256,128,best,0.6394391130330878
gini,,sqrt,64,256,128,random,0.6462620233037777
gini,,sqrt,128,1,128,best,0.6321610671757026
gini,,sqrt,128,1,128,random,0.6265513176855815
gini,,sqrt,128,2,128,best,0.6321610671757026
gini,,sqrt,128,2,128,random,0.6265513176855815
gini,,sqrt,128,4,128,best,0.6321610671757026
gini,,sqrt,128,4,128,random,0.6265513176855815
gini,,sqrt,128,8,128,best,0.6321610671757026
gini,,sqrt,128,8,128,random,0.6265513176855815
gini,,sqrt,128,16,128,best,0.6321610671757026
gini,,sqrt,128,16,128,random,0.6265513176855815
gini,,sqrt,128,32,128,best,0.6321610671757026
gini,,sqrt,128,32,128,random,0.6265513176855815
gini,,sqrt,128,64,128,best,0.6321610671757026
gini,,sqrt,128,64,128,random,0.6265513176855815
gini,,sqrt,128,128,128,best,0.6321610671757026
gini,,sqrt,128,128,128,random,0.6265513176855815
gini,,sqrt,128,256,128,best,0.6321610671757026
gini,,sqrt,128,256,128,random,0.6265513176855815
gini,,sqrt,256,1,128,best,0.6179419655733404
gini,,sqrt,256,1,128,random,0.6158627362600227
gini,,sqrt,256,2,128,best,0.6179419655733404
gini,,sqrt,256,2,128,random,0.6158627362600227
gini,,sqrt,256,4,128,best,0.6179419655733404
gini,,sqrt,256,4,128,random,0.6158627362600227
gini,,sqrt,256,8,128,best,0.6179419655733404
gini,,sqrt,256,8,128,random,0.6158627362600227
gini,,sqrt,256,16,128,best,0.6179419655733404
gini,,sqrt,256,16,128,random,0.6158627362600227
gini,,sqrt,256,32,128,best,0.6179419655733404
gini,,sqrt,256,32,128,random,0.6158627362600227
gini,,sqrt,256,64,128,best,0.6179419655733404
gini,,sqrt,256,64,128,random,0.6158627362600227
gini,,sqrt,256,128,128,best,0.6179419655733404
gini,,sqrt,256,128,128,random,0.6158627362600227
gini,,sqrt,256,256,128,best,0.6179419655733404
gini,,sqrt,256,256,128,random,0.6158627362600227
gini,,log2,1,1,128,best,0.6413080896720404
gini,,log2,1,1,128,random,0.6384099556612733
gini,,log2,1,2,128,best,0.6413080896720404
gini,,log2,1,2,128,random,0.6384099556612733
gini,,log2,1,4,128,best,0.6425552543114483
gini,,log2,1,4,128,random,0.6376783850538394
gini,,log2,1,8,128,best,0.6494749252522202
gini,,log2,1,8,128,random,0.6432001607171981
gini,,log2,1,16,128,best,0.6511806201996805
gini,,log2,1,16,128,random,0.6433114809892987
gini,,log2,1,32,128,best,0.6542594816897046
gini,,log2,1,32,128,random,0.6468558505833765
gini,,log2,1,64,128,best,0.6565000721262609
gini,,log2,1,64,128,random,0.6469133097909089
gini,,log2,1,128,128,best,0.6557861594928863
gini,,log2,1,128,128,random,0.6404411231693948
gini,,log2,1,256,128,best,0.645530232898451
gini,,log2,1,256,128,random,0.6342800764435649
gini,,log2,2,1,128,best,0.648126399237868
gini,,log2,2,1,128,random,0.6389628021477638
gini,,log2,2,2,128,best,0.648126399237868
gini,,log2,2,2,128,random,0.6389628021477638
gini,,log2,2,4,128,best,0.648126399237868
gini,,log2,2,4,128,random,0.6389628021477638
gini,,log2,2,8,128,best,0.6498144002218773
gini,,log2,2,8,128,random,0.6443748249271485
gini,,log2,2,16,128,best,0.6533870135844124
gini,,log2,2,16,128,random,0.642309714478897
gini,,log2,2,32,128,best,0.6557077071813125
